ཀུམ | བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀེར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀྲུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀླན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཀླལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀླས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཀླུབ | ཀླུབ_ད་ལྟ་བ།_ཐ་དད་པ+བཀླུབས_ད་ལྟ་བ།_ཐ་དད་པ+བཀླུབ_ད་ལྟ་བ།_ཐ་དད་པ+ཀླུབས_ད་ལྟ་བ།_ཐ་དད་པ
ཀླུབས | ཀླུབས_སྐུལ་ཚིག_ཐ་དད་པ+བཀླུབས_སྐུལ་ཚིག_ཐ་དད་པ+བཀླུབ_སྐུལ་ཚིག_ཐ་དད་པ+ཀླུབ_སྐུལ་ཚིག_ཐ་དད་པ
ཀློག | ཀློག_ད་ལྟ་བ།_ཐ་དད་པ+བཀླག_ད་ལྟ་བ།_ཐ་དད་པ+བཀླགས_ད་ལྟ་བ།_ཐ་དད་པ+ཀློགས_ད་ལྟ་བ།_ཐ་དད་པ
ཀློགས | བཀླགས_སྐུལ་ཚིག_ཐ་དད་པ+ཀློག_སྐུལ་ཚིག_ཐ་དད་པ+བཀླག_སྐུལ་ཚིག_ཐ་དད་པ+ཀློགས_སྐུལ་ཚིག_ཐ་དད་པ
ཀློད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཁུག | ཁུག_སྐུལ་ཚིག_ཐ་དད་པ+དགུག_སྐུལ་ཚིག_ཐ་དད་པ+བཀུག_སྐུལ་ཚིག_ཐ་དད་པ+འགུགས_སྐུལ་ཚིག_ཐ་དད་པ+ཁུག_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁུགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁུགས_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁུག_མ་འོངས་པ།_ཐ་མི་དད་པ+འགུགས_སྐུལ་ཚིག_###
ཁུགས | ཁུག_འདས་པ།_ཐ་མི་དད་པ+ཁུགས_འདས་པ།_ཐ་མི་དད་པ
ཁུན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁུམ | བཀུམ_སྐུལ་ཚིག_ཐ་དད་པ+འགུམ_སྐུལ་ཚིག_ཐ་དད་པ+དགུམ_སྐུལ་ཚིག_ཐ་དད་པ+ཁུམ_སྐུལ་ཚིག_ཐ་དད་པ
ཁུམས | བྱ་ཚིག_ཐ་མི་དད་པ
ཁུར | འཁུར_སྐུལ་ཚིག_ཐ་དད་པ+འཁུར_འདས་པ།_ཐ་དད་པ+ཁུར_སྐུལ་ཚིག_ཐ་དད་པ+ཁུར_འདས་པ།_ཐ་དད་པ
ཁེ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེག | ཁེག_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེགས_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེག_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁེགས | ཁེག_འདས་པ།_ཐ་མི་དད་པ+ཁེགས_འདས་པ།_ཐ་མི་དད་པ
ཁེང | ཁེང_ད་ལྟ་བ།_###+ཁེང_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེང_མ་འོངས་པ།_###+ཁེངས_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེངས_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེང_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁེངས | ཁེང_འདས་པ།_ཐ་མི་དད་པ+ཁེང_འདས་པ།_###+ཁེངས_འདས་པ།_ཐ་མི་དད་པ
ཁེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེབ | ཁེབས_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེབ_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེབས_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེབ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁེབས | ཁེབ_འདས་པ།_ཐ་མི་དད་པ+ཁེབས_འདས་པ།_ཐ་མི་དད་པ
ཁེར | བྱ་ཚིག_###
ཁེལ | ཁེལ_འདས་པ།_ཐ་མི་དད་པ+ཁོལ_འདས་པ།_###+འཁོད_འདས་པ།_ཐ་དད་པ+འཁེལ_འདས་པ།_###
ཁོག | དགག_སྐུལ་ཚིག_ཐ་དད་པ+འགོག_སྐུལ་ཚིག_ཐ་དད་པ+བཀག_སྐུལ་ཚིག_ཐ་དད་པ+བཀོག_སྐུལ་ཚིག_ཐ་དད་པ+འགོག_སྐུལ་ཚིག_###+ཁོག_སྐུལ་ཚིག_ཐ་དད་པ+དགོག_སྐུལ་ཚིག_ཐ་དད་པ
ཁོང | བཀང_སྐུལ་ཚིག_ཐ་དད་པ+ཁོང_སྐུལ་ཚིག_ཐ་དད་པ+དགང_སྐུལ་ཚིག_ཐ་དད་པ+འགེངས_སྐུལ་ཚིག_ཐ་དད་པ
ཁོད | འགོད_སྐུལ་ཚིག_ཐ་དད་པ+ཁོད_སྐུལ་ཚིག_ཐ་དད་པ+འགད_སྐུལ་ཚིག_ཐ་དད་པ+དགོད_སྐུལ་ཚིག_###+བཀོད_སྐུལ་ཚིག_ཐ་དད་པ+དགད_སྐུལ་ཚིག_ཐ་དད་པ+བཀད_སྐུལ་ཚིག_ཐ་དད་པ
